Part_ID,Part_Name,Supplier_ID,Plant_ID,Plant_Code,Line_ID,Equipment_ID,Qty_Per_Assy,Effective_Date,Safety_Critical,Alt_Source_Status
ELC-PCB-MAIN,Main PCB Assembly,SUP-025,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
ELC-MEM-08G,Memory Module 8G,SUP-027,plant7,MMC_P7,L2,L2-ROB-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
ELC-FW-LOAD,Firmware Programming,SUP-026,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
SNS-PRX-001,Proximity Sensor 001,SUP-009,plant7,MMC_P7,L2,L2-ROB-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
SNS-PRX-002,Proximity Sensor 002,SUP-009,plant7,MMC_P7,L2,L2-ROB-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
OPT-LNS-002,Optical Lens 002,SUP-010,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
OPT-FLT-002,Optical Filter 002,SUP-010,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CST-HSG-05,Cast Housing 05,SUP-005,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CST-HSG-06,Cast Housing 06,SUP-023,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
BRG-RAD-090,Radial Bearing 090,SUP-022,plant7,MMC_P7,L3,L3-CNV-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
LUB-OIL-MULTI,Multi-purpose Oil,SUP-018,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
ADH-CYAN-50ML,Cyanoacrylate 50ml,SUP-014,plant7,MMC_P7,L3,L3-CNV-001,4,2025-01-01,N,APPROVED_ALT_AVAILABLE
SPR-COIL-022,Coil Spring 022,SUP-020,plant7,MMC_P7,L1,L1-PRS-001,4,2025-01-01,N,APPROVED_ALT_AVAILABLE
SPR-LEAF-118,Leaf Spring 118,SUP-020,plant7,MMC_P7,L1,L1-PRS-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
GEAR-PIN-018,Pinion Gear 018,SUP-021,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
GEAR-SPR-024,Spur Gear 024,SUP-021,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CMP-TRIM-A,Composite Trim A,SUP-013,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CMP-TRIM-B,Composite Trim B,SUP-013,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CTG-PAINT-WHT,White Paint Coating,SUP-015,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
CTG-PAINT-BLK,Black Paint Coating,SUP-015,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
SRV-MOTOR-220,Servo Motor 220,SUP-024,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
SRV-MOTOR-330,Servo Motor 330,SUP-024,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
HYD-PUMP-A,Hydraulic Pump A,SUP-019,plant7,MMC_P7,L1,L1-PRS-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
HYD-PUMP-B,Hydraulic Pump B,SUP-019,plant7,MMC_P7,L1,L1-PRS-002,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
PLA-CLIP-A,Plastic Clip A,SUP-017,plant7,MMC_P7,L3,L3-CNV-001,10,2025-01-01,N,APPROVED_ALT_AVAILABLE
PLA-CLIP-B,Plastic Clip B,SUP-017,plant7,MMC_P7,L3,L3-CNV-001,10,2025-01-01,N,APPROVED_ALT_AVAILABLE
TRIM-INT-001,Interior Trim 001,SUP-028,plant7,MMC_P7,L3,L3-CNV-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
TRIM-INT-002,Interior Trim 002,SUP-028,plant7,MMC_P7,L3,L3-CNV-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
